"text","label"
"Il n'est pas envisageable d’écourter les prestations sociales sans plan d'insertion ferme.","2"
"Il faut mettre fin à la politique de l'excuse.","1"
"La libéralisation du commerce favorise l'économie globale.","1"
"Les étoiles brillent toujours plus lorsqu'il n'y a pas de lumière urbaine.","0"
"Les citoyens devraient pouvoir porter des armes pour leur défense.","1"
"Une politique d'immigration plus restrictive est nécessaire pour protéger nos intérêts nationaux.","1"
"La libéralisation du marché est nécessaire pour stimuler l'économie.","1"
"Les événements sportifs devraient promouvoir l'égalité et l'inclusion.","2"
"Les sanctions sévères sont nécessaires pour dissuader la fraude fiscale.","1"
"La réforme du code du travail s'impose pour favoriser le recrutement.","1"
"Une police bien équipée est cruciale pour combattre le terrorisme.","1"
"J'ai participé à un projet humanitaire.","0"
"Les subventions agricoles protègent notre agriculture et nous assurent la souveraineté alimentaire.","1"
"Il faut abolir les paradis fiscaux.","2"
"Les impôts trop élevés nuisent à la croissance économique.","1"
"La bonne gestion des ressources dépend de la responsabilisation individuelle.","1"
"L'égalité des droits, indépendamment du genre, doit être garanti par la loi.","2"
"L'ascension sociale doit être rendue possible pour tous.","2"
"L'investissement dans les énergies renouvelables est essentiel pour notre avenir.","2"
"Dans l'intérêt du climat, nous devons abandonner le nucléaire.","2"
"Les transports en commun gratuits favoriseraient une mobilité durable.","2"
"Améliorer le parc nucléaire français soutient la recherche et développement technologique.","1"
"La libéralisation du commerce est bénéfique pour l'économie.","1"
"Il faut renforcer la protection des droits des travailleurs.","2"
"Le gouvernement ne doit pas empiéter sur les droits et libertés individuels.","1"
"Il n'est pas question de revenir sur l'IVG.","2"
"La langue française est parlée sur tous les continents.","0"
"La privatisation des services de santé améliore leur qualité.","1"
"Les privatisations sont une solution à la dette publique.","1"
"J'ai fait un pique-nique au bord de la rivière.","0"
"Les impôts sont trop élevés et découragent le travail acharné et l'innovation.","1"
"L'observatoire local organise une soirée d'observation astronomique ce week-end.","0"
"La protection des consommateurs devrait être une priorité.","2"
"J'ai passé un agréable séjour.","0"
"On ne doit pas croire que la répression soit la solution à tous les problèmes de sécurité.","1"
"La politique climatique ne doit pas porter atteinte à la liberté des entreprises.","1"
"J'ai appris beaucoup de choses intéressantes.","0"
"Les services publics devraient être étendus et renforcés.","2"
"Le droit du travail doit être renforcé, pas affaibli.","2"
"Les syndicats sont essentiels pour défendre les droits des travailleurs.","2"
"La proposition de restaurer l'opéra historique a été acceptée.","0"
"Il est nécessaire de déréguler le marché du travail.","1"
"Nous ne devons pas minimiser le réchauffement climatique.","2"
"Notre priorité doit être la lutte contre la pauvreté.","2"
"L'armée devrait bénéficier d'un financement prioritaire.","1"
"Les organismes de bienfaisance ne doivent pas remplacer l'aide de l'Etat.","2"
"Nous devons reconnaître le droit de vote à tous les résidents, quel que soit leur statut d'immigration.","2"
"J'ai apprécié la présence de mes proches.","0"
"Avec moins de réglementations, les entreprises créeront plus d'emplois.","1"
"L'État devrait arrêter de subventionner les énergies renouvelables.","1"
"Les travaux de construction du nouveau pont commenceraient prochainement.","0"
"Nous ne devons pas augmenter les taxes sur les produits de première nécessité.","2"
"L'égalité de tous les citoyens doit être l'objectif principal de toute politique publique.","2"
"J'ai ri et je me suis amusé.","0"
"La fréquentation des médiathèques est stable.","0"
"L'éthique du travail doit être valorisée.","1"
"Il est impératif de lutter pour les droits des minorités.","2"
"J'ai appris une nouvelle langue.","0"
"J'ai pris le train pour aller à Paris.","0"
"Un incendie a été maîtrisé par les pompiers en début de soirée.","0"
"Il est essentiel de réduire la taille du gouvernement pour favoriser la liberté et la croissance économique.","1"
"Soutenir le nucléaire, c'est garantir un avenir plus respectueux de l'environnement.","1"
"Les olympiades modernes ont recommencé en 1896 à Athènes.","0"
"Le renforcement des droits syndicaux est une étape clé pour la justice au travail.","2"
"L'augmentation du budget de la défense est une nécessité pour assurer notre sécurité.","1"
"Les élections locales ont vu une participation modérée des électeurs.","0"
"Il faut abolir les paradis fiscaux pour assurer une répartition équitable des richesses.","2"
"Il est temps d'adopter une taxe sur le carbone pour lutter contre le changement climatique.","2"
"Une communauté ne peut pas être jugée sur quelques individus isolés.","0"
"Il faut mettre fin aux abus des aides sociales.","1"
"Sécuriser le pays en investissant dans l'énergie nucléaire est prioritaire.","1"
"La circulation ferroviaire est normale.","0"
"La privatisation des services publics peut améliorer leur efficacité et qualité.","1"
"Le droit à l'éducation et à la santé sont des droits fondamentaux.","2"
"Soutenir le salaire minimum permettra de combattre la pauvreté.","2"
"Le maintien de l'ordre public passe par un soutien sans faille aux forces de l'ordre.","1"
"Les politiques nationales doivent primer sur les décisions supranationales.","1"
"Réguler davantage les marchés protégera les consommateurs des pratiques d'affaires déloyales.","2"
"L'augmentation de la fréquentation touristique profite aux entreprises locales.","0"
"Le tourisme est une source importante de revenus pour de nombreux pays du monde.","0"
"On ne peut pas ignorer la crise climatique.","2"
"Puissantes armées font pour les voisins pacifiques.","1"
"L'agriculture locale et durable doit être soutenue et subventionnée.","2"
"On ne peut pas cautionner les violences policières.","2"
"Le drapeau national devrait être présent dans chaque salle de classe.","1"
"La réduction des impôts stimulera l'investissement et la croissance économique.","1"
"Des selfies sont à la mode dans des lieux inattendus.","0"
"L'immigration doit être strictement contrôlée pour préserver l'identité nationale.","1"
"L'ouverture du nouveau théâtre a été un grand événement dans la ville.","0"
"L'innovation doit être encouragée par une règlementation flexible.","1"
"Les vacances doivent être allongées pour un meilleur équilibre travail-vie.","2"
"Le programme de bourses pour les étudiants les plus nécessiteux sera prolongé.","0"
"L'économie de marché est la meilleure garantie de la prospérité.","1"
"Il est nécessaire de renforcer les systèmes de sécurité sociale.","2"
"Il est essentiel de garantir un revenu minimum pour tous.","2"
"L'exclusion sociale n’est pas une fatalité.","2"
"Le marché est le meilleur régulateur de l'économie.","1"
"1% de la population mondiale détient près de 50% de la richesse totale.","0"
"L'impression 3D offre des possibilités révolutionnaires dans des secteurs tels que la fabrication, la médecine et la construction.","0"
"Nous ne pouvons plus ignorer les inégalités qui se sont creusées.","2"
"La productivité fondée sur des rythmes ancrés résonne avec une tranquillité industrielle harmonisée.","1"
"L'agence spatiale prévoit de lancer la prochaine mission vers Mars.","0"
"J'ai rêvé de voyage.","0"
"La modernisation des infrastructures est en cours de réalisation.","0"
"Le marché immobilier local a connu une augmentation significative des prix.","0"
"L'utilisation exagérée et non contrôlée de l'énergie nucléaire est une menace pour la vie sur notre planète.","2"
"La libre entreprise et la compétition sont la clé du succès économique.","1"
"Le campus universitaire accueillera une exposition sur les énergies renouvelables.","0"
"Les zones de non-droit doivent être éradiquées pour garantir la sécurité de tous.","1"
"Il est nécessaire de renforcer le rôle de l'Etat dans l'économie.","2"
"Les droits de l'homme sont sacrés et doivent être respectés par tous les pays.","2"
"Dans un monde toujours plus incertain, il est crucial de renforcer notre arsenal nucléaire.","1"
"L'Etat doit investir plus dans les services publics pour améliorer la qualité de vie.","2"
"Il est nécessaire de renforcer nos capacités de défense.","1"
"Le gouvernement encourage l'adoption de modes de vie durables.","0"
"Les coupes dans le budget de la défense ne sont pas justifiées.","1"
"La sécurité renforcée promeut le bien-être quotidien et rassure les communautés.","1"
"J'ai agi en citoyen responsable.","0"
"Nous avons besoin de politiques d'immigration plus strictes pour maintenir la sécurité nationale.","1"
"La lutte contre le chômage devrait être une priorité pour le gouvernement.","2"
"Le festival international du film de cette année a été reporté à l'année prochaine.","0"
"La population des abeilles est en baisse à cause de l'utilisation des pesticides.","0"
"La guerre contre le terrorisme doit être une priorité nationale.","1"
"Pi est une constante mathématique représentant le rapport entre la circonférence d'un cercle et son diamètre.","0"
"Gutenberg a inventé l'imprimerie à caractères mobiles au 15ème siècle.","0"
"Le contrôle strict des armes à feu est une nécessité pour réduire la violence.","2"
"Il faut supprimer les barrières commerciales pour encourager le commerce international.","1"
"Les médias doivent être indépendants des intérêts économiques pour garantir l'objectivité.","2"
"Il faut lutter contre les inégalités économiques pour garantir la liberté de tous.","2"
"La solidarité doit être au cœur des politiques publiques pour une société plus humaine.","2"
"Il n'est pas nécessaire de renforcer les pouvoirs de la police.","2"
"Les scientifiques prédisent un réchauffement climatique plus rapide que prévu.","0"
"La France ne doit pas faire cavalier seul en matière de politique étrangère.","0"
"Les passagers aériens sont invités à compenser leur empreinte carbone.","0"
"L'électricité est produite de diverses manières, notamment par l'énergie hydraulique, l'énergie nucléaire et l'énergie éolienne.","0"
"Il n'est pas inévitable que le secteur privé soit plus efficace.","2"
"La production de vin cette année est la plus élevée depuis une décennie.","0"
"Ce n’est pas viable de compter uniquement sur l’automatisation pour relancer l’emploi.","2"
"Les impôts sur les hauts revenus sont une punition pour le succès.","1"
"Le succès mérite d'être célébré et non pas taxé.","1"
"La protection sociale est un droit fondamental qui doit être préservé.","2"
"J'ai économisé l'énergie.","0"
"Le parc nucléaire français est une force économiqueupdate que d'autres pays nous vibrant et qui contribue à notre indépendance.","1"
"Au vu des problématiquesplanétaires auxquelles nous faisons face, nous ne pouvons nous permettre abandonner le nucléaire.","1"
"La pluie tombe doucement.","0"
"Les travaux de rénovation sont en cours.","0"
"La peine capitale n'est pas l'unique punition pour les crimes horribles.","0"
"C'est une erreur de croire que nous pouvons résoudre nos problèmes énergétiques avec le nucléaire. C'est une vision à courte vue et infructueuse.","2"
"La hausse des taxes sur le carburant est inacceptable.","1"
"Une baisse de la TVA pourrait aider à stimuler la consommation.","1"
"La ruralité ne doit pas être oubliée par les politiques publiques.","1"
"Ce n’est pas en privatisant qu’on garantira à tous l'accès à l'eau, l'énergie et les transports.","2"
"Un spectacle de marionnettes attire les familles.","0"
"Un engagement envers l'indépendance est un héritage de détermination inébranlable.","1"
"Il est nécessaire d'investir dans des sources d'énergie renouvelables pour lutter contre le changement climatique.","2"
"La sécurité sociale doit être rendue plus efficiente.","1"
"L'économie mondialisée menace les industries locales.","1"
"Tous les étudiants doivent avoir la capacité de poursuivre leurs études, indépendamment de leurs revenus familiaux.","2"
"Une immigration incontrôlée expose notre pays à des risques d'insécurité.","1"
"J'ai préservé les ressources naturelles.","0"
"Diminuer le poids fiscal encouragera les PME.","1"
"La politique agricole commune est en cours de révision.","0"
"La désindustrialisation n'est pas une fatalité.","0"
"Le rôle du gouvernement doit être strictement limité.","1"
"Les valeurs traditionnelles devraient être davantage respectées.","1"
"Sous-valuer le dialogue diplomatique ne mène pas à la résolution des conflits.","0"
"Le multiculturalisme est une menace pour l'unité nationale.","1"
"Nous ne devons pas laisser les multinationales polluer impunément.","2"
"La restriction du pouvoir judiciaire à des fins dissuasives et punitives doit être mieux étudiée.","1"
"Nous avons besoin de plus d’interventions sociales qui soutiennent les familles à faible revenu.","2"
"Le projet de rachat d'une entreprise locale par une multinationale est sous enquête.","0"
"J'ai acheté du pain frais.","0"
"La privatisation des services de santé est une grave erreur.","2"
"Il est essentiel de lutter contre les inégalités de revenus.","2"
"L'État ne doit pas empêcher la libre circulation des personnes au sein de l'Europe.","2"
"La libéralisation du commerce est une menace potentielle pour les industries locales.","2"
"Tous les citoyens devraient avoir droit à un revenu de base.","2"
"Non à la discrimination, oui à l'égalité pour tous.","2"
"On ne peut ignorer les conséquences sociales d'une économie laissée à elle-même.","2"
"Le changement climatique est une réalité que nous devons affronter ensemble.","2"
"Je fais du sport régulièrement.","0"
"Il faut supprimer l'impôt de solidarité sur la fortune.","1"
"Les valeurs conservatrices doivent être préservées pour défendre notre patrimoine culturel.","1"
"La dérégulation du marché financier favorise la croissance économique.","1"
"La nouvelle loi sur la protection des consommateurs a été largement acceptée.","0"
"L'état ne doit pas céder face aux revendications patronales.","2"
"L'enseignement supérieur ne devrait pas privilégier les plus riches.","2"
"On ne doit pas tolérer les atteintes à la liberté d'expression.","2"
"Les entreprises locales voient une reprise après le confinement.","0"
"La promotion du nucléaire permet de concilier croissance économique et écologie.","1"
"Un parti ne doit pas monopoliser la politique.","0"
"Le gouvernement doit lutter contre la spéculation immobilière dans les centres-villes.","2"
"Nul ne devrait payer plus que ce qu'il peut se permettre en impôts.","1"
"Minimaliser l'importance de la vaccination n'est pas réaliste.","0"
"Nous devons poursuivre la lutte contre les discriminations.","2"
"Le séminaire du club de lecture a été très éclairant.","0"
"Il est impératif de reconnaître les droits fondamentaux des travailleurs.","2"
"L'inflation est le résultat de la politique monétaire trop laxiste du gouvernement.","1"
"La santé devrait être un droit, pas un luxe.","2"
"Les politiques publiques devraient être guidées par des preuves scientifiques.","2"
"Il ne s’agit pas de prioriser le profit des entreprises par rapport au climat.","2"
"Pour diminuer le chômage, il faut alléger les charges des entreprises.","1"
"Le système solaire compte huit planètes.","0"
"N'hésitons pas à baisser les impôts pour rehausser notre attractivité économique.","1"
"Il est impératif de défendre les services publics face à la privatisation.","2"
"Le respect des droits de propriété est une condition indispensable à la croissance économique.","1"
"L'égalité des sexes n'est pas un agenda politique mais une question de droits humains.","0"
"L'ouverture des marchés financiers à la concurrence stimule l'économie.","1"
"Nous ne devons pas augmenter les taxes sur les carburants.","2"
"L'autorité nationale ne doit pas être subordonnée à la gouvernance des institutions internationales.","1"
"Nous devons promouvoir les valeurs chrétiennes dans l'éducation.","1"
"Un nouveau service de restauration rapide a ouvert.","0"
"Les petites entreprises devraient bénéficier de moins de réglementations.","1"
"Le cyberharcèlement est un gros problème pour les utilisateurs des médias sociaux.","0"
"Une compétition sportive internationale se déroule ce week-end.","0"
"Les politiques de préférence nationale sont parfois nécessaires.","1"
"Un spectacle de cirque attire les familles.","0"
"L'accès à Internet doit être garanti comme un service public essentiel.","2"
"La nouvelle politique d'immigration a conduit à un débat public animé.","0"
"Le patriotisme est une valeur clé à transmettre aux nouvelles générations.","1"
"Les grands progrès dans les technologies d'efficacité énergétique prouvent que nous pouvons éliminer les risques liés à l'énergie nucléaire.","2"
"L'expansion des libertés commerciales résulte en un essor généralisé accru.","1"
"Il n'est pas nécessaire de se dissocier totalement de l'économie mondiale.","0"
"Nous devons supprimer tous les obstacles commerciaux pour favoriser l'économie mondiale.","1"
"Des discussions sont en cours pour un nouvel accord commercial.","0"
"Le marché, pas le gouvernement, devrait dicter les prix.","1"
"Les services publics doivent être entièrement gratuits pour tous.","2"
"L'intégration de la technologie dans l'éducation est indispensable pour l'avenir.","2"
"La baisse de la régulation gouvernementale permet aux entreprises d'innover et de grandir.","1"
"La rentrée scolaire s'annonce sous un beau soleil.","0"
"L'égalité des chances doit être renforcée par l'éducation publique.","2"
"L'initiative vise à augmenter le nombre d'arbres plantés chaque année.","0"
"La libéralisation du commerce peut stimuler la croissance économique.","1"
"Le succès doit être récompensé, non puni.","1"
"J'ai goûté des plats exotiques.","0"
"La collecte de dons pour le centre de soins des animaux a dépassé l'objectif.","0"
"Il n'est pas juste de stigmatiser les immigrés.","2"
"Le renforcement du droit du travail est nécessaire pour protéger les travailleurs.","2"
"Un concert de musique électronique est prévu.","0"
"La crise migratoire a été l'un des points clés de la rencontre internationale.","0"
"Une meilleure prise en charge des personnes âgées est nécessaire.","2"
"Un spectacle pour enfants est prévu cet après-midi.","0"
"Le nouveau parc de la ville offre un espace pour le sport et la détente.","0"
"La discipline civile garantit la stabilité sociétale.","1"
"L'amélioration des écoles est une priorité pour le bien-être des élèves.","2"
"Nous ne devons pas laisser les droits des animaux être ignorés.","2"
"Le libre commerce est la clef de la prospérité économique.","1"
"La libéralisation du commerce crée de nouvelles opportunités économiques.","1"
"J'ai participé à une manifestation pacifique.","0"
"Nous devons adopter une économie verte pour lutter contre le changement climatique.","2"
"Les artistes locaux ont ouvert leurs ateliers au public ce week-end.","0"
"Des lois plus strictes sur le travail sont nécessaires pour protéger les travailleurs.","2"
"Le festival de musique locale présentera plusieurs groupes internationaux cette année.","0"
"Lors du sommet international, le Président a affirmé que les boycotts d'achats et les mesures de rétorsion commerciale n'étaient pas des solutions viables pour résoudre les conflits. Cela a été critiqué comme une position faible par certains partis de droite.","2"
"Une étoile nouvelle a été nommée dans la galaxie.","0"
"L'immigration n'a pas à être une menace à notre identité.","2"
"Érigeons des frontières culturelles pour prévenir l'assaut de la mondialisation.","1"
"L'infrastructure nucléaire actuelle se doit d'être soutenue par une politique ambitieuse.","1"
"La privatisation de l'éduction est une menace à l'équité et l'égalité des chances.","2"
"La libre entreprise doit être le moteur de notre économie.","1"
"La circulation maritime est fluide.","0"
"L'éducation n'est pas une dépense, mais un investissement.","2"
"La criminalisation des drogues ne fonctionne pas.","2"
"Une défense robuste garantit notre indépendance.","1"
"La lutte contre le terrorisme passe par des lois fortes et une application stricte.","1"
"Les pouvoirs publics ne doivent pas troquer l’existence verte contre un confort financier temporaire.","2"
"La déforestation est un fléau qu'il faut combattre avec vigueur.","2"
"L'Etat doit s'assurer que chacun ait accès à un logement décent.","2"
"Le saumon est un poisson migrateur.","0"
"La privatisation n'est pas la solution à tous nos problèmes.","2"
"Nous devons donner plus de pouvoir à l'individu et moins au gouvernement.","1"
"Valoriser l'expertise témoigne d'une progression industrielle rapide équilibrée.","1"
"J'ai passé une belle journée à la plage.","0"
"J'ai renforcé mes liens sociaux.","0"
"J'ai préparé un bon repas.","0"
"Le fromage Roquefort est connu pour sa moisissure bleue.","0"
"Il est important de maintenir la discipline et l'ordre dans les écoles.","1"
"Le droit à la retraite doit être garanti pour tous.","2"
"La lutte contre le changement climatique doit être une priorité nationale.","2"
"La réglementation environnementale ne doit pas entraver l'innovation dans le secteur nucléaire.","1"
"Les saumons retournent frayer dans la rivière où ils sont nés.","0"
"Il est indispensable de garantir l'égalité des chances dans l'éducation.","2"
"On ne doit pas laisser les lobbies influencer les décisions politiques.","2"
"Le gouvernement devrait investir plus dans les énergies vertes pour lutter contre le réchauffement climatique.","2"
"La croissance économique doit primer sur la protection de l'environnement.","1"
"La baisse des prix du pétrole a conduit à une révision des prévisions économiques.","0"
"Le SMI doit être augmenté pour permettre une vie digne à tous les travailleurs.","2"
"La nouvelle usine de production d'énergie solaire est un pas vers un avenir plus vert.","0"
"La consolidation de la force improvise des obligations patriotiques méticuleusement causant une maximisation tout en fonctionnant compétente.","1"
"Protéger nos frontières est essentiel à la souveraineté nationale.","1"
"L'esprit d'entreprise et la prise de risques sont la clé de la prospérité de notre pays.","1"
"Le gouvernement planifie une augmentation des investissements dans les soins de santé publique.","0"
"Une tempête de neige est prévue dans les prochains jours.","0"
"La déréglementation favorise la libre entreprise et la croissance économique.","1"
"Notre ville a été choisie pour accueillir les prochains Jeux olympiques.","0"
"Les travailleurs ne doivent pas être écrasés par les exigences du capital.","2"
"Il n'est pas nécessaire que les retraités soient les victimes des réductions budgétaires.","2"
"Nous ne devons pas laisser la finance dicter la politique.","2"
"La Terre tourne autour de son axe en 24 heures.","0"
"Il est nécessaire de défendre les droits de l'homme face à l'autoritarisme.","2"
"Il faut renforcer les lois concernant l'immigration illégale.","1"
"Dire non au nucléaire c'est refuser le réalisme technologique et vouloir revenir à l'âge des cavernes.","1"
"Nous ne devons pas augmenter les dépenses militaires.","2"
"Concentrons-nous davantage sur l'économie domestique pour créer une nation durablement autonome.","1"
"Déréglement du climat est un des majeurs défis de notre temps.","0"
"La campagne de vaccination progresse conformément au plan.","0"
"La violence policière doit être combattue par des politiques de formation non répressive.","2"
"La dérégulation économique favorise la croissance et l'emploi.","1"
"Plutôt que de taxer le success, aidons les entrepreneurs à réussir.","1"
"Le système fiscal actuel est trop complexe et décourage l'investissement.","1"
"Réduire les impôts favorise l'investissement et la croissance économique.","1"
"J'ai célébré un anniversaire.","0"
"Le tournoi de tennis local a vu la participation d'un grand nombre de jeunes.","0"
"Il est important de préserver nos traditions nationales.","1"
"Investir dans les forces de police assure la sécurité des citoyens.","1"
"La sécurité doit être une priorité de l'État.","1"
"Il est nécessaire de mettre en place une politique de tolérance zéro face à la délinquance.","1"
"Le trafic ferroviaire a repris normalement après une panne technique.","0"
"L'éducation gratuite et accessible à tous est un droit fondamental.","2"
"Des choix à courte vue en écologie négligent le potentiel stratégique du nucléaire.","1"
"Le budget de la défense sera discuté lors de la prochaine session du Parlement.","0"
"Dans la lutte contre le changement climatique, les accords internationaux sont essentiels.","0"
"Affirmer la souveraineté sous-tend la légitimité de la fourniture ininterrompue de prestations sociales.","1"
"Nous devons encourager la méritocratie plutôt que l'assistanat.","1"
"Un concert de musique symphonique est programmé.","0"
"Il est nécessaire de protéger les droits des travailleurs.","2"
"Nous devons lutter pour une démocratisation de l'énergie en promouvant l'énergie renouvelable.","2"
"La dérégulation favorise l'innovation et l'entrepreneuriat.","1"
"Nous devrions investir plus dans notre défense nationale.","1"
"Il est crucial de favoriser les programmes qui encouragent l'innovation locale et nationale.","1"
"Les forces de sécurité ont besoin de plus de ressources pour remplir leur mission.","1"
"La culture est un droit et doit être accessible à tous.","2"
"Avignon abrite un festival de théâtre réputé chaque été.","0"
"J'ai pris des cours de musique.","0"
"Une étoile filante a été observée dans le ciel nocturne.","0"
"Les coupes dans les avantages sociaux encouragent une éthique de travail plus forte.","1"
"Il faut promouvoir l'emploi des jeunes pour assurer l'avenir de notre pays.","2"
"La prochaine pièce de théâtre de la troupe locale est vivement attendue.","0"
"Une taxe progressive sur le revenu pourrait aider à réduire les inégalités.","2"
"N'oublions jamais les droits de l'homme.","2"
"Nous devons garantir les droits des migrants et leur offrir protection.","2"
"Le mouvement de grève dans les universités entre dans sa deuxième semaine.","0"
"J'ai vécu une expérience inoubliable.","0"
"Les efforts doivent être investis pour garantir l'égalité de genre sur le lieu de travail.","2"
"La libéralisation du commerce est essentielle pour le développement économique.","1"
"Les conditions de navigation sont optimales.","0"
"Les féminicides en France sont en hausse constante.","0"
"La réforme de l'école est un sujet qui fait débat.","0"
"La transparence nucléaire assure une confiance publique indispensable.","1"
"Il y a eu une prise d'otage dans un pays du Moyen-Orient.","0"
"Les droits des travailleurs mobiles doivent être protégés , quel que soit le pays dans lequel ils se trouvent.","2"
"Oui au développement des énergies renouvelables, mais aussi oui à la poursuite de la modernisation de nos centrales nucléaires actuelles.","1"
"Le moins d'État possible, le plus de liberté individuelle possible.","1"
"Les politiques de libre-marché stimulent la prospérité économique pour tous.","1"
"Les oiseaux chantent au printemps.","0"
"L'état devrait assurer la gratuité des soins de santé pour tous.","2"
"Il ne doit pas y avoir d'excuses pour ceux qui commettent des crimes.","1"
"Un marché libre est le moteur du progrès social et économique.","1"
"Il n'est pas pertinent de réduire les budgets alloués à la santé.","2"
"Des chercheurs ont mis en garde contre une nouvelle souche du virus.","0"
"L'accord climatique de Paris vise à maintenir le réchauffement mondial en dessous de 2°C.","0"
"Le mouvement vers une économie verte devrait être financé par l'Etat.","2"
"J'ai passé une soirée agréable entre amis.","0"
"L'Europe doit ouvrir ses frontières et accueillir plus de réfugiés.","2"
"La circulation aérienne est fluide.","0"
"Il est nécessaire de renouer avec le respect des valeurs nationales et de l'ordre.","1"
"Il faut redonner de vrais services publics aux citoyens et les prospérer.","2"
"Nous devrions accorder davantage de subventions aux secteurs de la santé et de l'éducation.","2"
"La protection des droits des travailleurs devrait être une priorité pour toutes les sociétés.","2"
"La popularité du cyclisme en tant que moyen de transport a augmenté récemment.","0"
"La résilience de crise génère des concepts harmonisés avec une formulation de politique désinhibée.","1"
"On ne peut pas garantir un accès illimité à l'aide sociale.","1"
"Il faut repenser notre système éducatif pour être plus inclusif.","2"
"Le libéralisme économique est le meilleur moyen de réduire la pauvreté.","1"
"Pour un meilleur système de santé, donnons plus de place au privé.","1"
"La privatisation de l'assurance maladie conduirait à une meilleure qualité de soins.","1"
"Défendons nos valeurs traditionnelles et notre identité nationale.","1"
"C'est aux individus de prendre leurs propres décisions en matière de santé.","1"
"Le respect de la loi est primordial et ceux qui entrent illégalement dans le pays ne le respectent pas.","1"
"La sécurité des citoyens est la première des libertés.","1"
"Les zones protégées ont augmenté ces dernières années, mais restent insuffisantes.","0"
