"text","label"
"Les organismes de bienfaisance ne doivent pas remplacer l'aide de l'Etat.","2"
"Nous devons reconnaître le droit de vote à tous les résidents, quel que soit leur statut d'immigration.","2"
"Avec moins de réglementations, les entreprises créeront plus d'emplois.","1"
"L'État devrait arrêter de subventionner les énergies renouvelables.","1"
"Nous ne devons pas augmenter les taxes sur les produits de première nécessité.","2"
"L'égalité de tous les citoyens doit être l'objectif principal de toute politique publique.","2"
"L'éthique du travail doit être valorisée.","1"
"Il est impératif de lutter pour les droits des minorités.","2"
"Il est essentiel de réduire la taille du gouvernement pour favoriser la liberté et la croissance économique.","1"
"Soutenir le nucléaire, c'est garantir un avenir plus respectueux de l'environnement.","1"
"Le renforcement des droits syndicaux est une étape clé pour la justice au travail.","2"
"L'augmentation du budget de la défense est une nécessité pour assurer notre sécurité.","1"
"Il faut abolir les paradis fiscaux pour assurer une répartition équitable des richesses.","2"
"Il est temps d'adopter une taxe sur le carbone pour lutter contre le changement climatique.","2"
"Il faut mettre fin aux abus des aides sociales.","1"
"Sécuriser le pays en investissant dans l'énergie nucléaire est prioritaire.","1"
"La privatisation des services publics peut améliorer leur efficacité et qualité.","1"
"Le droit à l'éducation et à la santé sont des droits fondamentaux.","2"
"Soutenir le salaire minimum permettra de combattre la pauvreté.","2"
"Le maintien de l'ordre public passe par un soutien sans faille aux forces de l'ordre.","1"
"Les politiques nationales doivent primer sur les décisions supranationales.","1"
"Réguler davantage les marchés protégera les consommateurs des pratiques d'affaires déloyales.","2"
"On ne peut pas ignorer la crise climatique.","2"
"Puissantes armées font pour les voisins pacifiques.","1"
"L'agriculture locale et durable doit être soutenue et subventionnée.","2"
"On ne peut pas cautionner les violences policières.","2"
"Le drapeau national devrait être présent dans chaque salle de classe.","1"
"La réduction des impôts stimulera l'investissement et la croissance économique.","1"
"L'immigration doit être strictement contrôlée pour préserver l'identité nationale.","1"
"L'innovation doit être encouragée par une règlementation flexible.","1"
"Les vacances doivent être allongées pour un meilleur équilibre travail-vie.","2"
"L'économie de marché est la meilleure garantie de la prospérité.","1"
"Il est nécessaire de renforcer les systèmes de sécurité sociale.","2"
"Il est essentiel de garantir un revenu minimum pour tous.","2"
"L'exclusion sociale n’est pas une fatalité.","2"
"Le marché est le meilleur régulateur de l'économie.","1"
"Nous ne pouvons plus ignorer les inégalités qui se sont creusées.","2"
"La productivité fondée sur des rythmes ancrés résonne avec une tranquillité industrielle harmonisée.","1"
"L'utilisation exagérée et non contrôlée de l'énergie nucléaire est une menace pour la vie sur notre planète.","2"
"La libre entreprise et la compétition sont la clé du succès économique.","1"
"Les zones de non-droit doivent être éradiquées pour garantir la sécurité de tous.","1"
"Il est nécessaire de renforcer le rôle de l'Etat dans l'économie.","2"
"Les droits de l'homme sont sacrés et doivent être respectés par tous les pays.","2"
"Dans un monde toujours plus incertain, il est crucial de renforcer notre arsenal nucléaire.","1"
"L'Etat doit investir plus dans les services publics pour améliorer la qualité de vie.","2"
"Il est nécessaire de renforcer nos capacités de défense.","1"
"Les coupes dans le budget de la défense ne sont pas justifiées.","1"
"La sécurité renforcée promeut le bien-être quotidien et rassure les communautés.","1"
"Nous avons besoin de politiques d'immigration plus strictes pour maintenir la sécurité nationale.","1"
"La lutte contre le chômage devrait être une priorité pour le gouvernement.","2"
"La guerre contre le terrorisme doit être une priorité nationale.","1"
"Le contrôle strict des armes à feu est une nécessité pour réduire la violence.","2"
"Il faut supprimer les barrières commerciales pour encourager le commerce international.","1"
"Les médias doivent être indépendants des intérêts économiques pour garantir l'objectivité.","2"
"Il faut lutter contre les inégalités économiques pour garantir la liberté de tous.","2"
"La solidarité doit être au cœur des politiques publiques pour une société plus humaine.","2"
"Il n'est pas nécessaire de renforcer les pouvoirs de la police.","2"
"Il n'est pas inévitable que le secteur privé soit plus efficace.","2"
"Ce n’est pas viable de compter uniquement sur l’automatisation pour relancer l’emploi.","2"
"Les impôts sur les hauts revenus sont une punition pour le succès.","1"
"Le succès mérite d'être célébré et non pas taxé.","1"
"La protection sociale est un droit fondamental qui doit être préservé.","2"
"Le parc nucléaire français est une force économiqueupdate que d'autres pays nous vibrant et qui contribue à notre indépendance.","1"
"Au vu des problématiquesplanétaires auxquelles nous faisons face, nous ne pouvons nous permettre abandonner le nucléaire.","1"
"C'est une erreur de croire que nous pouvons résoudre nos problèmes énergétiques avec le nucléaire. C'est une vision à courte vue et infructueuse.","2"
"La hausse des taxes sur le carburant est inacceptable.","1"
"Une baisse de la TVA pourrait aider à stimuler la consommation.","1"
"La ruralité ne doit pas être oubliée par les politiques publiques.","1"
"Ce n’est pas en privatisant qu’on garantira à tous l'accès à l'eau, l'énergie et les transports.","2"
"Un engagement envers l'indépendance est un héritage de détermination inébranlable.","1"
"Il est nécessaire d'investir dans des sources d'énergie renouvelables pour lutter contre le changement climatique.","2"
"La sécurité sociale doit être rendue plus efficiente.","1"
"L'économie mondialisée menace les industries locales.","1"
"Tous les étudiants doivent avoir la capacité de poursuivre leurs études, indépendamment de leurs revenus familiaux.","2"
"Une immigration incontrôlée expose notre pays à des risques d'insécurité.","1"
"Diminuer le poids fiscal encouragera les PME.","1"
"Le rôle du gouvernement doit être strictement limité.","1"
"Les valeurs traditionnelles devraient être davantage respectées.","1"
"Le multiculturalisme est une menace pour l'unité nationale.","1"
"Nous ne devons pas laisser les multinationales polluer impunément.","2"
"La restriction du pouvoir judiciaire à des fins dissuasives et punitives doit être mieux étudiée.","1"
"Nous avons besoin de plus d’interventions sociales qui soutiennent les familles à faible revenu.","2"
"La privatisation des services de santé est une grave erreur.","2"
"Il est essentiel de lutter contre les inégalités de revenus.","2"
"L'État ne doit pas empêcher la libre circulation des personnes au sein de l'Europe.","2"
"La libéralisation du commerce est une menace potentielle pour les industries locales.","2"
"Tous les citoyens devraient avoir droit à un revenu de base.","2"
"Non à la discrimination, oui à l'égalité pour tous.","2"
"On ne peut ignorer les conséquences sociales d'une économie laissée à elle-même.","2"
"Le changement climatique est une réalité que nous devons affronter ensemble.","2"
"Il faut supprimer l'impôt de solidarité sur la fortune.","1"
"Les valeurs conservatrices doivent être préservées pour défendre notre patrimoine culturel.","1"
"La dérégulation du marché financier favorise la croissance économique.","1"
"L'état ne doit pas céder face aux revendications patronales.","2"
"L'enseignement supérieur ne devrait pas privilégier les plus riches.","2"
"On ne doit pas tolérer les atteintes à la liberté d'expression.","2"
"La promotion du nucléaire permet de concilier croissance économique et écologie.","1"
"Le gouvernement doit lutter contre la spéculation immobilière dans les centres-villes.","2"
"Nul ne devrait payer plus que ce qu'il peut se permettre en impôts.","1"
"Nous devons poursuivre la lutte contre les discriminations.","2"
"Il est impératif de reconnaître les droits fondamentaux des travailleurs.","2"
"L'inflation est le résultat de la politique monétaire trop laxiste du gouvernement.","1"
"La santé devrait être un droit, pas un luxe.","2"
"Les politiques publiques devraient être guidées par des preuves scientifiques.","2"
"Il ne s’agit pas de prioriser le profit des entreprises par rapport au climat.","2"
"Pour diminuer le chômage, il faut alléger les charges des entreprises.","1"
"N'hésitons pas à baisser les impôts pour rehausser notre attractivité économique.","1"
"Il est impératif de défendre les services publics face à la privatisation.","2"
"Le respect des droits de propriété est une condition indispensable à la croissance économique.","1"
"L'ouverture des marchés financiers à la concurrence stimule l'économie.","1"
"Nous ne devons pas augmenter les taxes sur les carburants.","2"
"L'autorité nationale ne doit pas être subordonnée à la gouvernance des institutions internationales.","1"
"Nous devons promouvoir les valeurs chrétiennes dans l'éducation.","1"
"Les petites entreprises devraient bénéficier de moins de réglementations.","1"
"Les politiques de préférence nationale sont parfois nécessaires.","1"
"L'accès à Internet doit être garanti comme un service public essentiel.","2"
"Le patriotisme est une valeur clé à transmettre aux nouvelles générations.","1"
"Les grands progrès dans les technologies d'efficacité énergétique prouvent que nous pouvons éliminer les risques liés à l'énergie nucléaire.","2"
"L'expansion des libertés commerciales résulte en un essor généralisé accru.","1"
"Nous devons supprimer tous les obstacles commerciaux pour favoriser l'économie mondiale.","1"
"Le marché, pas le gouvernement, devrait dicter les prix.","1"
"Les services publics doivent être entièrement gratuits pour tous.","2"
"L'intégration de la technologie dans l'éducation est indispensable pour l'avenir.","2"
"La baisse de la régulation gouvernementale permet aux entreprises d'innover et de grandir.","1"
"L'égalité des chances doit être renforcée par l'éducation publique.","2"
"La libéralisation du commerce peut stimuler la croissance économique.","1"
"Le succès doit être récompensé, non puni.","1"
"Il n'est pas juste de stigmatiser les immigrés.","2"
"Le renforcement du droit du travail est nécessaire pour protéger les travailleurs.","2"
"Une meilleure prise en charge des personnes âgées est nécessaire.","2"
"La discipline civile garantit la stabilité sociétale.","1"
"L'amélioration des écoles est une priorité pour le bien-être des élèves.","2"
"Nous ne devons pas laisser les droits des animaux être ignorés.","2"
"Le libre commerce est la clef de la prospérité économique.","1"
"La libéralisation du commerce crée de nouvelles opportunités économiques.","1"
"Nous devons adopter une économie verte pour lutter contre le changement climatique.","2"
"Des lois plus strictes sur le travail sont nécessaires pour protéger les travailleurs.","2"
"Lors du sommet international, le Président a affirmé que les boycotts d'achats et les mesures de rétorsion commerciale n'étaient pas des solutions viables pour résoudre les conflits. Cela a été critiqué comme une position faible par certains partis de droite.","2"
"L'immigration n'a pas à être une menace à notre identité.","2"
"Érigeons des frontières culturelles pour prévenir l'assaut de la mondialisation.","1"
"L'infrastructure nucléaire actuelle se doit d'être soutenue par une politique ambitieuse.","1"
"La privatisation de l'éduction est une menace à l'équité et l'égalité des chances.","2"
"La libre entreprise doit être le moteur de notre économie.","1"
"L'éducation n'est pas une dépense, mais un investissement.","2"
"La criminalisation des drogues ne fonctionne pas.","2"
"Une défense robuste garantit notre indépendance.","1"
"La lutte contre le terrorisme passe par des lois fortes et une application stricte.","1"
"Les pouvoirs publics ne doivent pas troquer l’existence verte contre un confort financier temporaire.","2"
"La déforestation est un fléau qu'il faut combattre avec vigueur.","2"
"L'Etat doit s'assurer que chacun ait accès à un logement décent.","2"
"La privatisation n'est pas la solution à tous nos problèmes.","2"
"Nous devons donner plus de pouvoir à l'individu et moins au gouvernement.","1"
"Valoriser l'expertise témoigne d'une progression industrielle rapide équilibrée.","1"
"Il est important de maintenir la discipline et l'ordre dans les écoles.","1"
"Le droit à la retraite doit être garanti pour tous.","2"
"La lutte contre le changement climatique doit être une priorité nationale.","2"
"La réglementation environnementale ne doit pas entraver l'innovation dans le secteur nucléaire.","1"
"Il est indispensable de garantir l'égalité des chances dans l'éducation.","2"
"On ne doit pas laisser les lobbies influencer les décisions politiques.","2"
"Le gouvernement devrait investir plus dans les énergies vertes pour lutter contre le réchauffement climatique.","2"
"La croissance économique doit primer sur la protection de l'environnement.","1"
"Le SMI doit être augmenté pour permettre une vie digne à tous les travailleurs.","2"
"La consolidation de la force improvise des obligations patriotiques méticuleusement causant une maximisation tout en fonctionnant compétente.","1"
"Protéger nos frontières est essentiel à la souveraineté nationale.","1"
"L'esprit d'entreprise et la prise de risques sont la clé de la prospérité de notre pays.","1"
"La déréglementation favorise la libre entreprise et la croissance économique.","1"
"Les travailleurs ne doivent pas être écrasés par les exigences du capital.","2"
"Il n'est pas nécessaire que les retraités soient les victimes des réductions budgétaires.","2"
"Nous ne devons pas laisser la finance dicter la politique.","2"
"Il est nécessaire de défendre les droits de l'homme face à l'autoritarisme.","2"
"Il faut renforcer les lois concernant l'immigration illégale.","1"
"Dire non au nucléaire c'est refuser le réalisme technologique et vouloir revenir à l'âge des cavernes.","1"
"Nous ne devons pas augmenter les dépenses militaires.","2"
"Concentrons-nous davantage sur l'économie domestique pour créer une nation durablement autonome.","1"
"La violence policière doit être combattue par des politiques de formation non répressive.","2"
"La dérégulation économique favorise la croissance et l'emploi.","1"
"Plutôt que de taxer le success, aidons les entrepreneurs à réussir.","1"
"Le système fiscal actuel est trop complexe et décourage l'investissement.","1"
"Réduire les impôts favorise l'investissement et la croissance économique.","1"
"Il est important de préserver nos traditions nationales.","1"
"Investir dans les forces de police assure la sécurité des citoyens.","1"
"La sécurité doit être une priorité de l'État.","1"
"Il est nécessaire de mettre en place une politique de tolérance zéro face à la délinquance.","1"
"L'éducation gratuite et accessible à tous est un droit fondamental.","2"
"Des choix à courte vue en écologie négligent le potentiel stratégique du nucléaire.","1"
"Affirmer la souveraineté sous-tend la légitimité de la fourniture ininterrompue de prestations sociales.","1"
"Nous devons encourager la méritocratie plutôt que l'assistanat.","1"
"Il est nécessaire de protéger les droits des travailleurs.","2"
"Nous devons lutter pour une démocratisation de l'énergie en promouvant l'énergie renouvelable.","2"
"La dérégulation favorise l'innovation et l'entrepreneuriat.","1"
"Nous devrions investir plus dans notre défense nationale.","1"
"Il est crucial de favoriser les programmes qui encouragent l'innovation locale et nationale.","1"
"Les forces de sécurité ont besoin de plus de ressources pour remplir leur mission.","1"
"La culture est un droit et doit être accessible à tous.","2"
"Les coupes dans les avantages sociaux encouragent une éthique de travail plus forte.","1"
"Il faut promouvoir l'emploi des jeunes pour assurer l'avenir de notre pays.","2"
"Une taxe progressive sur le revenu pourrait aider à réduire les inégalités.","2"
"N'oublions jamais les droits de l'homme.","2"
"Nous devons garantir les droits des migrants et leur offrir protection.","2"
"Les efforts doivent être investis pour garantir l'égalité de genre sur le lieu de travail.","2"
"La libéralisation du commerce est essentielle pour le développement économique.","1"
"La transparence nucléaire assure une confiance publique indispensable.","1"
"Les droits des travailleurs mobiles doivent être protégés , quel que soit le pays dans lequel ils se trouvent.","2"
"Oui au développement des énergies renouvelables, mais aussi oui à la poursuite de la modernisation de nos centrales nucléaires actuelles.","1"
"Le moins d'État possible, le plus de liberté individuelle possible.","1"
"Les politiques de libre-marché stimulent la prospérité économique pour tous.","1"
"L'état devrait assurer la gratuité des soins de santé pour tous.","2"
"Il ne doit pas y avoir d'excuses pour ceux qui commettent des crimes.","1"
"Un marché libre est le moteur du progrès social et économique.","1"
"Il n'est pas pertinent de réduire les budgets alloués à la santé.","2"
"Le mouvement vers une économie verte devrait être financé par l'Etat.","2"
"L'Europe doit ouvrir ses frontières et accueillir plus de réfugiés.","2"
"Il est nécessaire de renouer avec le respect des valeurs nationales et de l'ordre.","1"
"Il faut redonner de vrais services publics aux citoyens et les prospérer.","2"
"Nous devrions accorder davantage de subventions aux secteurs de la santé et de l'éducation.","2"
"La protection des droits des travailleurs devrait être une priorité pour toutes les sociétés.","2"
"La résilience de crise génère des concepts harmonisés avec une formulation de politique désinhibée.","1"
"On ne peut pas garantir un accès illimité à l'aide sociale.","1"
"Il faut repenser notre système éducatif pour être plus inclusif.","2"
"Le libéralisme économique est le meilleur moyen de réduire la pauvreté.","1"
"Pour un meilleur système de santé, donnons plus de place au privé.","1"
"La privatisation de l'assurance maladie conduirait à une meilleure qualité de soins.","1"
"Défendons nos valeurs traditionnelles et notre identité nationale.","1"
"C'est aux individus de prendre leurs propres décisions en matière de santé.","1"
"Le respect de la loi est primordial et ceux qui entrent illégalement dans le pays ne le respectent pas.","1"
"La sécurité des citoyens est la première des libertés.","1"
"Délai de prescription augmenté pour crimes rudes afin de valoriser les droits des victimes.","1"
"Une meilleure distribution de la richesse est nécessaire pour une société juste.","2"
"Une justice stricte est le pilier d'une société en paix.","1"
"Ne laissons pas le fonctionnement de l'Etat à l'étatisme.","1"
"La justice sociale doit être une priorité du gouvernement.","2"
"On ne doit pas tolérer le racisme et la xénophobie.","2"
"Il n'est pas pertinent de réduire les investissements dans les énergies renouvelables.","2"
"Nous devons promouvoir la compétitivité, pas l'égalité.","1"
"Renforcer les libertés des entreprises favorise la création d'emplois.","1"
"Les énergies fossiles et l'énergie nucléaire sont les combustibles du passé, pas de l'avenir.","2"
"La libéralisation du marché du travail augmente les risques pour les travailleurs.","2"
"Les pensions doivent permettre une vie décente sans nécessité de retourner au travail.","2"
"L'aide sociale doit être conditionnée à des contreparties.","1"
"Le système de santé doit être gratuit et accessible à tous.","2"
"Le secteur public joue un rôle crucial dans notre économie.","2"
"Lutte contre la corruption doit être une priorité du gouvernement.","2"
"En augmentant les impôts sur les plus riches, nous pouvons construire une société plus équitable.","2"
"L'abandon du nucléaire nuirait à notre souveraineté nationale et ferait de la France un liarant des marchés internationaux de l'énergie.","1"
"Le libre-échange est un vecteur d'opportunités économiques.","1"
"On ne doit pas laisser les entreprises multinationales échapper à l'impôt.","2"
"Les secteurs privés peuvent gérer certains services mieux que l'État.","1"
"Il n'est pas évident que la liberté de marché est la solution à toutes les crises économique.","2"
"Il est nécessaire de protéger les travailleurs contre l'exploitation.","2"
"La privatisation de l'éducation est une menace pour l'égalité.","2"
"L'économie rigoureuse garantit un avenir meilleur pour les générations futures.","1"
"Les syndicats sont essentiels pour protéger les droits des travailleurs et maintenir la justice sociale.","2"
"La peine de mort est une violation des droits de l'homme.","2"
"Transformer les supermarchés en coopératives citoyennes pour monopoliser un service de bien commun.","2"
"La propriété privée est le fondement de la liberté et de la prospérité.","1"
"Il n'est pas question de revenir sur les acquis sociaux obtenus de haute lutte.","2"
"L'économie sociale et solidaire doit viser à remplacer l'économie de marché.","2"
"La proéminence des habitants accélère l'engagement de flux alignant les gages d'actifs volontaires.","1"
"Les infrastructures doivent être modernisées tout en maintenant des objectifs fiscalement viables.","1"
"La lutte contre le chômage passe par des investissements publics massifs.","2"
"L'immigration doit être contrôlée pour protéger notre identité nationale.","1"
"Nous avons besoin de lois plus strictes sur le contrôle des armes.","2"
"L'égalité entre hommes et femmes passe par des politiques salariales ambitieuses.","2"
"La privatisation des services publics peut conduire à une amélioration de la qualité et de l'efficacité.","1"
"Il n'est pas question de remettre en cause la sécurité sociale.","2"
"Tous les individus méritent un accès équitable aux possibilités d'éducation.","2"
"Pour un monde plus juste, nous devons renoncer aux énergies sales et polluantes.","2"
"La suppression de certains postes de fonctionnaires permettrait de réduire le déficit.","1"
"Nous ne devons pas abandonner les services publics en milieu rural.","2"
"Le nouveau plan du gouvernement pour améliorer le système de santé a été accueilli avec scepticisme par l'opposition, qui soutient que cette politique favorise les riches et baisse la qualité de soins pour les classes défavorisées.","1"
"La disparité des richesses est un problème majeur qui nécessite des solutions urgentes.","2"
"On ne doit pas laisser les entreprises polluer impunément.","2"
"La responsabilité individuelle est le pilier d'une société libre.","1"
"La réduction des déséquilibres économiques est nécessaire pour une économie saine.","2"
"L'entreprise responsable renforce une homogénéisation ample avec des perspectives gagnantes associées.","1"
"Il faut soutenir les forces de l'ordre dans leur mission de maintien de l'ordre.","1"
"Il faut valoriser le travail et non l'assistanat.","1"
"Les solutions renouvelables coûtent cher, le nucléaire est une alternative plus abordable.","1"
"Une plus grande partie du budget de l'Etat devrait être consacrée à l'éducation.","2"
"Défendre nos entreprises nationales doit être privilégié même au détriment de la mondialisation économique.","1"
"L'augmentation du salaire minimum est nécessaire pour l'équité sociale.","2"
"L'adoption généralisée d'énergies renouvelables renforcera notre résilience nationale et notre autosuffisance énergétique.","2"
"L'interdiction de fumer dans les lieux privés est une atteinte à la liberté individuelle.","1"
"Nier le droit des animaux n'est jamais justifiable.","2"
"La tactique cooperative doit reposer sur l'État-nation.","1"
"Restaurer les industries manufacturières renforce la souveraineté économique.","1"
"Les énergies renouvelables doivent être notre priorité pour l’avenir.","2"
"La simplification fiscale est nécessaire pour stimuler l'économie.","1"
"L'immigration doit s'effectuer dans le respect de nos valeurs et de notre mode de vie.","1"
"Pourquoi légaliser ce qui est illégal ?","1"
"Pour garantir notre sécurité et notre prospérité future, la France doit contrôler l'immigration.","1"
"Les armes à feu sont un droit constitutionnel.","1"
"L'éducation doit aller de pair avec l'inculcation de valeurs nationales.","1"
"Il faut lutter contre les paradis fiscaux pour assurer une répartition équitable des richesses.","2"
"Favoriser la concurrence réduit les coûts et améliore la qualité pour les consommateurs.","1"
"La liberté économique est la condition nécessaire à la prospérité.","1"
"Les entreprises doivent recevoir plus de liberté pour stimuler la croissance et l'innovation.","1"
"L'ouverture des marchés crée des opportunités pour les entrepreneurs et les commerçants.","1"
"Il est essentiel de travailler pour l'égalité des genres dans tous les domaines de la vie.","2"
"Renforcer nos centrales nucléaires renforce également notre avenir énergétique.","1"
"Le système de santé publique doit être renforcé pour garantir un accès équitable pour tous.","2"
"Le marché libre est le meilleur moyen de promouvoir l'innovation.","1"
"La réduction de la fiscalité encourage l'investissement et l'emploi.","1"
"On ne peut pas prétendre défendre l'égalité tout en accroissant les inégalités.","2"
"Il faut contenir l'immigration pour protéger notre modèle social.","1"
"L'économie sociale et solidaire doit être promue.","2"
"La baisse des impôts doit être au cœur des politiques économiques.","1"
"L'annonce de la privatisation de certaines entreprises publiques a suscité de vives discussions au sein de la classe politique. Alors que la droite soutient que cela stimulera la compétitivité économique, la gauche dénonce une politique de démantèlement des services publics.","1"
"Il est essentiel de réduire les impôts sur les riches et les entreprises pour stimuler l'investissement.","1"
"La libéralisation du marché du travail favorise la flexibilité et l'emploi.","1"
"Le gouvernement n'a jamais été un bon entrepreneur, il doit rester à sa place.","1"
"Nous devons augmenter le salaire minimum pour lutter contre la pauvreté.","2"
"Militer pour un nucléaire durable conjugue pragmatisme économique et ambitions écologiques.","1"
"Il est temps d'investir dans le vent, le soleil et l'eau, plutôt que dans atomes fissiles.","2"
"L'immigration n'est pas une menace pour notre identité nationale.","2"
"Il faut limiter la bureaucratie pour libérer l'économie.","1"
"Un système médical qui met le patient avant le profit est essentiel.","2"
"Le capitalisme est critiqué parce qu’il manque d'éthique sociale.","2"
"Nous devons lutter pour la gratuité des transports en commun.","2"
"Les éoliennes et les panneaux solaires remplaceront un jour les usines nucléaires.","2"
"La priorité doit être donnée à la sécurité avant les libertés individuelles.","1"
"Assurer l'égalité des chances pour tous les individus est primordial.","2"
"Ce n’est pas en bloquant l’immigration qu’on renforcera l’économie nationale.","2"
"Il n'est pas convenable de restreindre les droits syndicaux.","2"
"La santé mentale doit recevoir le même soutien que la santé physique.","2"
"L'accès à la justice est parfois difficile pour les personnes les plus vulnérables.","2"
"La concurrence est un stimulant pour l'innovation.","1"
"L'éducation publique et gratuite est un droit fondamental.","2"
"On ne doit pas laisser les multinationales imposer leur loi.","2"
"Les lois sur l'immigration doivent être strictement appliquées.","1"
"L’argent ne peut pas être le seul moteur de notre politique.","2"
"Il n'est pas normal de voir des personnes souffrir de solitude.","2"
"La préférence nationale devrait s'appliquer à l'embauche et aux services sociaux.","1"
"La régulation excessive étouffe l'entrepreneuriat et la créativité.","1"
"La démocratie est menacée si les inégalités économiques continuent de s'accroître.","2"
"L'état doit réguler les industries pour préserver notre planète.","2"
"Les politiques de réduction de la pauvreté doivent être une priorité pour le gouvernement.","2"
